,UHF_42,Incident_Address_Borough,Date_Received,asbestos_count,gasses_count,ventilation_count,mold_count,dust_count,sewageO_count,sewageL_count
491,williamsburg - bushwick,Brooklyn,2015,13.0,32.0,27.0,11.0,38.0,,
492,williamsburg - bushwick,Brooklyn,2016,13.0,39.0,17.0,2.0,30.0,,
493,williamsburg - bushwick,Brooklyn,2017,8.0,37.0,17.0,6.0,24.0,30.0,4.0
494,williamsburg - bushwick,Brooklyn,2018,18.0,30.0,20.0,12.0,19.0,34.0,8.0
495,williamsburg - bushwick,Brooklyn,2019,15.0,37.0,21.0,15.0,23.0,42.0,14.0
496,williamsburg - bushwick,Brooklyn,2020,8.0,24.0,27.0,5.0,28.0,33.0,30.0
497,williamsburg - bushwick,Brooklyn,2021,8.0,43.0,17.0,2.0,7.0,18.0,1.0
498,willowbrook,Staten Island,2010,1.0,3.0,2.0,1.0,1.0,,
499,willowbrook,Staten Island,2011,1.0,9.0,5.0,4.0,,,
500,willowbrook,Staten Island,2012,6.0,2.0,3.0,3.0,1.0,,
501,willowbrook,Staten Island,2014,2.0,8.0,4.0,10.0,1.0,,
502,willowbrook,Staten Island,2015,1.0,2.0,3.0,16.0,,,
503,willowbrook,Staten Island,2016,1.0,2.0,6.0,5.0,4.0,,
504,willowbrook,Staten Island,2018,2.0,4.0,3.0,7.0,,26.0,8.0
505,willowbrook,Staten Island,2019,4.0,12.0,6.0,9.0,2.0,6.0,1.0
506,willowbrook,Staten Island,2020,4.0,2.0,4.0,2.0,3.0,9.0,
507,willowbrook,Staten Island,2021,1.0,,,3.0,1.0,,1.0
508,canarsie - flatlands,Brooklyn,2010,,21.0,4.0,1.0,1.0,,
509,canarsie - flatlands,Brooklyn,2021,,4.0,2.0,1.0,3.0,10.0,1.0
510,coney island - sheepshead bay,Manhattan,2012,,1.0,,,,,
511,fresh meadows,Queens,2012,,9.0,4.0,,1.0,,
512,kingsbridge - riverdale,Manhattan,2016,,1.0,,,,,
513,lower manhattan,Manhattan,2010,,10.0,7.0,,1.0,,
514,port richmond,Staten Island,2020,,3.0,2.0,5.0,,10.0,13.0
515,south beach - tottenville,Staten Island,2021,,1.0,277.0,,,6.0,2.0
516,sunset park,Brooklyn,2020,,16.0,8.0,1.0,2.0,5.0,5.0
517,willowbrook,Staten Island,2013,,8.0,4.0,5.0,,,
518,willowbrook,Staten Island,2017,,3.0,6.0,5.0,1.0,5.0,2.0
519,high bridge - morrisania,Manhattan,2011,,,1.0,,,,
520,west queens,Bronx,2021,,,1.0,,,,
521,downtown - heights - slope,Manhattan,2018,,,,1.0,,,
